Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
AD Russell (WI),2024-2024,7,6,3,78,30,26.0,47,165.95,0,0,0,8,4
Tanzid Hasan (BAN),2024-2024,7,7,0,76,35,10.85,79,96.2,0,0,3,11,1
BKG Mendis (SL),2024-2024,3,3,0,75,46,25.0,67,111.94,0,0,0,8,0
SR Taylor (USA),2024-2024,6,6,0,74,24,12.33,82,90.24,0,0,1,7,3
LS Livingstone (ENG),2024-2024,8,4,0,72,33,18.0,49,146.93,0,0,0,3,5
KIC Asalanka (SL),2024-2024,3,3,0,71,46,23.66,51,139.21,0,0,0,1,6
NS Dhaliwal (CAN),2024-2024,3,3,0,71,61,23.66,61,116.39,0,1,0,8,3
S Movva (CAN),2024-2024,3,3,1,71,37,35.5,61,116.39,0,0,0,5,2
K Doriga (PNG),2024-2024,4,4,1,71,27,23.66,77,92.2,0,0,0,6,1
SA Edwards (NED),2024-2024,4,4,0,71,31,17.75,64,110.93,0,0,0,5,2
MM Ali (ENG),2024-2024,8,5,0,71,25,14.2,51,139.21,0,0,0,2,5
DP Conway (NZ),2024-2024,4,4,1,70,35,23.33,65,107.69,0,0,0,7,3
Harmeet Singh (USA),2024-2024,6,4,0,69,38,17.25,50,138.0,0,0,1,4,5
S Bau (PNG),2024-2024,4,4,0,67,50,16.75,80,83.75,0,1,1,8,1
Vikramjit Singh (NED),2024-2024,4,4,0,67,26,16.75,71,94.36,0,0,0,5,3
MD Patel (USA),2024-2024,2,2,0,66,50,33.0,54,122.22,0,1,0,9,1
CJ Anderson (USA),2024-2024,6,5,1,66,29,16.5,72,91.66,0,0,0,1,3
N Davin (NAM),2024-2024,4,4,0,64,24,16.0,66,96.96,0,0,0,7,2
Aasif Sheikh (NEP),2024-2024,3,3,0,63,42,21.0,71,88.73,0,0,0,9,1
AD Mathews (SL),2024-2024,3,3,1,62,30,31.0,50,124.0,0,0,0,2,4
TH David (AUS),2024-2024,7,5,1,61,24,15.25,41,148.78,0,0,0,5,3
GJ Delany (IRE),2024-2024,3,3,0,60,31,20.0,40,150.0,0,0,0,3,5
PS Athavale (OMA),2024-2024,3,3,0,59,54,19.66,44,134.09,0,1,1,6,2
GD Phillips (NZ),2024-2024,4,2,0,58,40,29.0,51,113.72,0,0,0,5,2
JN Frylinck (NAM),2024-2024,4,3,0,58,45,19.33,68,85.29,0,0,0,8,0
Rashid Khan (AFG),2024-2024,8,7,2,57,19,11.4,46,123.91,0,0,0,5,4
Mohammad Nabi (AFG),2024-2024,8,8,3,56,16,11.2,70,80.0,0,0,2,3,1
DM de Silva (SL),2024-2024,2,2,0,55,34,27.5,52,105.76,0,0,0,4,1
MR Adair (IRE),2024-2024,3,3,0,52,34,17.33,45,115.55,0,0,0,5,1
D Wiese (NAM),2024-2024,4,4,1,51,27,17.0,40,127.5,0,0,0,2,4
P Nissanka (SL),2024-2024,3,3,0,50,47,16.66,38,131.57,0,0,1,7,1
M Levitt (NED),2024-2024,4,4,0,50,31,12.5,45,111.11,0,0,1,4,4
Riazat Ali Shah (UGA),2024-2024,4,4,0,49,33,12.25,111,44.14,0,0,0,1,0
Khalid Kail (OMA),2024-2024,4,4,0,48,34,12.0,61,78.68,0,0,0,2,1
Mehran Khan (OMA),2024-2024,4,4,0,47,27,11.75,36,130.55,0,0,1,4,2
GH Dockrell (IRE),2024-2024,3,3,1,44,30,22.0,38,115.78,0,0,0,4,1
Shadab Khan (PAK),2024-2024,4,3,0,44,40,14.66,34,129.41,0,0,1,1,3
M van Lingen (NAM),2024-2024,3,3,0,43,33,14.33,41,104.87,0,0,1,3,3
Karim Janat (AFG),2024-2024,7,5,2,43,14,14.33,38,113.15,0,0,0,2,2
Aqib Ilyas (OMA),2024-2024,4,4,0,42,18,10.5,35,120.0,0,0,1,5,2
MA Leask (SCOT),2024-2024,4,2,0,40,35,20.0,25,160.0,0,0,0,0,4
Rishad Hossain (BAN),2024-2024,7,6,1,40,24,8.0,26,153.84,0,0,1,2,4
AK Sah (NEP),2024-2024,3,3,0,38,27,12.66,38,100.0,0,0,1,5,1
Kushal Malla (NEP),2024-2024,3,3,0,37,27,12.33,52,71.15,0,0,0,2,1
JB Little (IRE),2024-2024,3,2,1,36,22,36.0,31,116.12,0,0,0,4,1
DJ Mitchell (NZ),2024-2024,4,3,1,36,19,18.0,30,120.0,0,0,0,5,0
MH Cross (SCOT),2024-2024,4,3,1,36,18,18.0,24,150.0,0,0,0,1,3
Shaheen Shah Afridi (PAK),2024-2024,4,3,3,36,23,0.0,22,163.63,0,0,0,1,4
RK Paudel (NEP),2024-2024,3,3,0,36,35,12.0,45,80.0,0,0,1,5,0
KR Mayers (WI),2024-2024,1,1,0,35,35,35.0,34,102.94,0,0,0,3,2
Jaker Ali (BAN),2024-2024,4,4,1,35,14,11.66,46,76.08,0,0,0,3,0
FH Allen (NZ),2024-2024,4,4,0,35,26,8.75,43,81.39,0,0,2,4,1
